Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,SMA_21,SMA_34,SMA_14,SD_14,upper_band,lower_band
2017-05-30,MUTHOOTFIN,EQ,391.0,392.5,396.3,382.5,395.0,395.05,393.63,248705,97896800.8,7024,117282,47.16,2017,5,1.0358056265984628,Positive,,,,,,
2017-05-31,MUTHOOTFIN,EQ,395.05,395.1,415.5,394.45,412.7,412.65,410.66,1302071,534714160.35,18580,390110,29.96,2017,5,4.455132261739014,Among top gainers,,,,,,
2017-06-01,MUTHOOTFIN,EQ,412.65,412.6,417.95,403.35,409.75,409.95,410.18,987025,404858166.75,21362,545941,55.31,2017,6,-0.6543075245365348,Slight negative,,,393.36857142857144,8.731609999697262,410.831791427966,375.9053514291769
2017-06-02,MUTHOOTFIN,EQ,409.95,414.7,432.0,408.7,427.7,428.2,420.37,1522773,640123295.8,24316,657014,43.15,2017,6,4.451762410050009,Among top gainers,,,395.2964285714285,11.327900618277972,417.95222980798445,372.6406273348726
2017-06-05,MUTHOOTFIN,EQ,428.2,428.0,439.75,426.1,434.0,433.6,433.67,1130544,490279764.5,21349,368350,32.58,2017,6,1.2610929472209431,Positive,,,397.8435714285714,15.298350140880135,428.4402717103317,367.24687114681115
2017-06-06,MUTHOOTFIN,EQ,433.6,433.65,438.6,422.4,425.25,424.85,432.24,514532,222402736.7,9382,201063,39.08,2017,6,-2.017988929889303,Negative,,,400.51071428571424,17.796655461192586,436.1040252080994,364.9174033633291
2017-06-07,MUTHOOTFIN,EQ,424.85,425.3,441.6,422.8,440.0,439.2,435.58,629866,274354657.45,11382,170446,27.06,2017,6,3.377662704483919,Among top gainers,,,404.02000000000004,19.566675359278197,443.15335071855645,364.8866492814436
2017-06-08,MUTHOOTFIN,EQ,439.2,444.0,447.45,433.6,437.0,435.55,441.02,853515,376421420.35,13915,303913,35.61,2017,6,-0.8310564663023601,Slight negative,,,408.2264285714286,20.79057390229554,449.80757637601965,366.6452807668375
2017-06-09,MUTHOOTFIN,EQ,435.55,438.65,453.3,422.8,447.0,446.7,447.81,1619995,725442350.4,29743,604389,37.31,2017,6,2.559981632418773,Positive,,,412.6385714285715,22.224911475861695,457.08839438029486,368.1887484768481
2017-06-12,MUTHOOTFIN,EQ,446.7,455.0,455.0,445.4,450.8,449.45,449.93,1531400,689021268.35,22377,733110,47.87,2017,6,0.6156256995746512,Slight positive,407.98952380952386,,417.3878571428571,22.606365740163113,462.60058862318334,372.1751256625309
2017-06-13,MUTHOOTFIN,EQ,449.45,450.75,465.9,449.3,465.1,464.7,460.07,1525493,701839219.6,20158,653830,42.86,2017,6,3.393035932806754,Among top gainers,411.16523809523807,,422.5014285714286,23.637716880880387,469.7768623331894,375.22599480966784
2017-06-14,MUTHOOTFIN,EQ,464.7,465.9,479.4,460.35,475.35,476.9,470.28,1277514,600782957.5,16942,495848,38.81,2017,6,2.625349687970724,Positive,414.6066666666667,,428.21500000000003,24.887174253170848,477.98934850634174,378.4406514936583
2017-06-15,MUTHOOTFIN,EQ,476.9,474.95,481.2,468.85,473.2,472.8,475.08,655299,311319116.75,11969,189019,28.84,2017,6,-0.8597190186621861,Slight negative,418.4247619047619,,433.71500000000003,26.189455820116677,486.0939116402334,381.3360883597667
2017-06-16,MUTHOOTFIN,EQ,472.8,473.2,481.95,470.25,473.0,471.85,475.5,494930,235340581.95,8820,157774,31.88,2017,6,-0.2009306260575272,Slight or No change,422.66523809523807,,439.71571428571434,25.38238993241801,490.4804941505504,388.9509344208783
2017-06-19,MUTHOOTFIN,EQ,471.85,473.05,476.7,455.85,459.7,459.7,463.08,486877,225464649.35,8655,183965,37.78,2017,6,-2.5749708593832854,Negative,426.52,,444.6764285714286,22.279568980481642,489.2355665323919,400.11729061046526
2017-06-20,MUTHOOTFIN,EQ,459.7,459.7,472.05,455.6,464.1,464.8,465.47,396194,184416421.4,8060,134288,33.89,2017,6,1.1094191864259306,Positive,430.3023809523809,,448.59142857142854,20.594255306962356,489.77993918535327,407.4029179575038
2017-06-21,MUTHOOTFIN,EQ,464.8,465.0,465.35,457.1,458.8,459.1,460.45,341056,157040303.05,9846,99785,29.26,2017,6,-1.226333907056798,Negative,433.9695238095238,,452.1821428571429,17.537402306793478,487.2569474707298,417.10733824355594
2017-06-22,MUTHOOTFIN,EQ,459.1,460.0,464.8,449.2,450.5,451.15,457.14,354938,162254732.75,10543,104375,29.41,2017,6,-1.731648878240044,Negative,437.23904761904754,,454.8085714285715,14.972488543552425,484.75354851567636,424.86359434146664
2017-06-23,MUTHOOTFIN,EQ,451.15,452.0,453.7,437.9,447.05,447.15,445.2,396801,176655232.4,13813,173780,43.8,2017,6,-0.8866230743655112,Slight negative,439.85380952380956,,455.63214285714287,14.006234973463197,483.64461280406925,427.6196729102165
2017-06-27,MUTHOOTFIN,EQ,447.15,446.3,447.0,434.8,436.05,436.05,438.6,562976,246923522.4,15970,227130,40.34,2017,6,-2.4823884602482305,Negative,441.78333333333336,,456.0864285714286,13.273114298717113,482.6326571688628,429.5401999739944
2017-06-28,MUTHOOTFIN,EQ,436.05,436.0,453.55,429.95,445.1,446.15,445.29,745164,331817139.65,26334,149330,20.04,2017,6,2.3162481366815646,Positive,444.3452380952381,,456.7799999999999,12.34004425874104,481.460088517482,432.0999114825178
2017-06-29,MUTHOOTFIN,EQ,446.15,449.4,464.4,447.95,462.0,460.1,459.02,830368,381156144.9,12473,297195,35.79,2017,6,3.1267510926818343,Among top gainers,447.45904761904757,,458.0657142857143,11.479393386737286,481.0245010591889,435.10692751223974
2017-06-30,MUTHOOTFIN,EQ,460.1,458.5,459.8,450.65,456.4,455.15,454.69,327367,148851172.2,8009,55033,16.81,2017,6,-1.075853075418398,Negative,449.5557142857143,427.5779411764706,458.5571428571428,11.149090634577206,480.8553241262972,436.25896158798844
2017-07-03,MUTHOOTFIN,EQ,455.15,458.0,464.7,451.6,456.05,456.55,457.86,438293,200674664.2,9383,135325,30.88,2017,7,0.3075909040975544,Slight or No change,451.8261904761904,429.4744117647059,459.12357142857144,10.875149942126383,480.8738713128242,437.3732715443187
