,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend
77,MUTHOOTFIN,EQ,2017-06-19,471.85,473.05,476.7,455.85,459.7,459.7,463.08,486877,225464649.35,8655,183965,37.78,2017,6,-2.5749708593832854,Negative
81,MUTHOOTFIN,EQ,2017-06-20,459.7,459.7,472.05,455.6,464.1,464.8,465.47,396194,184416421.4,8060,134288,33.89,2017,6,1.1094191864259306,Positive
86,MUTHOOTFIN,EQ,2017-06-21,464.8,465.0,465.35,457.1,458.8,459.1,460.45,341056,157040303.05,9846,99785,29.26,2017,6,-1.226333907056798,Negative
89,MUTHOOTFIN,EQ,2017-06-22,459.1,460.0,464.8,449.2,450.5,451.15,457.14,354938,162254732.75,10543,104375,29.41,2017,6,-1.731648878240044,Negative
91,MUTHOOTFIN,EQ,2017-06-23,451.15,452.0,453.7,437.9,447.05,447.15,445.2,396801,176655232.4,13813,173780,43.8,2017,6,-0.8866230743655112,Slight negative
96,MUTHOOTFIN,EQ,2017-06-27,447.15,446.3,447.0,434.8,436.05,436.05,438.6,562976,246923522.4,15970,227130,40.34,2017,6,-2.4823884602482305,Negative
99,MUTHOOTFIN,EQ,2017-06-28,436.05,436.0,453.55,429.95,445.1,446.15,445.29,745164,331817139.65,26334,149330,20.04,2017,6,2.3162481366815646,Positive
104,MUTHOOTFIN,EQ,2017-06-29,446.15,449.4,464.4,447.95,462.0,460.1,459.02,830368,381156144.9,12473,297195,35.79,2017,6,3.1267510926818343,Among top gainers
108,MUTHOOTFIN,EQ,2017-06-30,460.1,458.5,459.8,450.65,456.4,455.15,454.69,327367,148851172.2,8009,55033,16.81,2017,6,-1.0758530754183981,Negative
112,MUTHOOTFIN,EQ,2017-07-03,455.15,458.0,464.7,451.6,456.05,456.55,457.86,438293,200674664.2,9383,135325,30.88,2017,7,0.3075909040975544,Slight or No change
117,MUTHOOTFIN,EQ,2017-07-04,456.55,460.0,462.0,448.0,449.75,450.6,454.74,295595,134418681.95,8448,81269,27.49,2017,7,-1.3032526557879676,Negative
121,MUTHOOTFIN,EQ,2017-07-05,450.6,454.0,458.0,447.65,452.1,451.15,452.42,301216,136275692.25,4544,115980,38.5,2017,7,0.12205947625387736,Slight or No change
125,MUTHOOTFIN,EQ,2017-07-06,451.15,454.8,458.0,445.2,445.2,446.6,450.73,546249,246209086.9,12422,302749,55.42,2017,7,-1.0085337470907563,Negative
131,MUTHOOTFIN,EQ,2017-07-07,446.6,448.8,452.85,443.85,448.0,448.9,449.56,427452,192165428.2,10332,153091,35.81,2017,7,0.515002239140161,Slight positive
135,MUTHOOTFIN,EQ,2017-07-10,448.9,448.9,454.0,445.0,451.5,449.5,450.5,65960,29715034.2,1324,30144,45.7,2017,7,0.1336600579193714,Slight or No change
138,MUTHOOTFIN,EQ,2017-07-11,449.5,450.5,452.65,440.5,444.0,445.05,446.68,323573,144533467.8,4107,206469,63.81,2017,7,-0.9899888765294795,Slight negative
141,MUTHOOTFIN,EQ,2017-07-12,445.05,447.5,469.55,444.1,467.95,467.75,458.67,1067168,489475801.0,16856,349590,32.76,2017,7,5.100550499943823,Among top gainers
147,MUTHOOTFIN,EQ,2017-07-13,467.75,472.0,474.9,463.35,470.0,469.65,470.07,960481,451488902.15,15825,241647,25.16,2017,7,0.4061998931052857,Slight or No change
152,MUTHOOTFIN,EQ,2017-07-14,469.65,470.95,479.0,465.95,472.4,472.85,474.13,991986,470327639.95,18028,348535,35.14,2017,7,0.6813584584264953,Slight positive
159,MUTHOOTFIN,EQ,2017-07-17,472.85,475.95,475.95,464.55,469.0,468.4,469.71,327343,153756010.95,10444,125438,38.32,2017,7,-0.94110182933278,Slight negative
164,MUTHOOTFIN,EQ,2017-07-18,468.4,466.0,476.25,460.1,468.0,468.9,472.11,488523,230638595.75,19214,270143,55.3,2017,7,0.10674637062340064,Slight or No change
167,MUTHOOTFIN,EQ,2017-07-19,468.9,468.5,475.35,465.1,468.25,470.55,470.56,895246,421264503.95,20053,304044,33.96,2017,7,0.351887396033268,Slight or No change
170,MUTHOOTFIN,EQ,2017-07-20,470.55,471.55,472.75,458.2,460.1,460.15,464.79,540333,251143983.15,15434,152729,28.27,2017,7,-2.210179577090643,Negative
173,MUTHOOTFIN,EQ,2017-07-21,460.15,460.9,464.85,447.25,451.7,452.75,456.69,452339,206577799.65,14094,133996,29.62,2017,7,-1.6081712485059185,Negative
176,MUTHOOTFIN,EQ,2017-07-24,452.75,453.05,468.9,451.45,461.9,461.35,460.99,792689,365419706.2,15709,209133,26.38,2017,7,1.8995030369961308,Positive
180,MUTHOOTFIN,EQ,2017-07-25,461.35,462.0,469.8,455.85,466.1,465.95,463.49,461333,213823139.3,9797,112294,24.34,2017,7,0.9970738051370942,Slight positive
183,MUTHOOTFIN,EQ,2017-07-26,465.95,468.9,483.4,467.0,476.15,477.65,477.3,1687894,805632649.35,29027,436136,25.84,2017,7,2.5109990342311317,Positive
188,MUTHOOTFIN,EQ,2017-07-27,477.65,481.95,481.95,462.65,466.0,465.35,471.58,947528,446838131.85,13873,372516,39.31,2017,7,-2.5751072961373245,Negative
194,MUTHOOTFIN,EQ,2017-07-28,465.35,465.0,474.75,462.3,467.15,467.5,469.82,568445,267066305.0,9890,51096,8.99,2017,7,0.4620178360373872,Slight or No change
198,MUTHOOTFIN,EQ,2017-07-31,467.5,468.0,480.0,467.8,474.6,474.15,473.95,889969,421799810.05,10929,304049,34.16,2017,7,1.4224598930481225,Positive
