Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2017-07-06,MUTHOOTFIN,EQ,451.15,454.8,458.0,445.2,445.2,446.6,450.73,546249,246209086.9,12422,302749,55.42,2017,7,-1.0085337470907565,Negative,436.01475741035233,454.00714285714287,471.9995283039334,Hold Buy/Liquidate Short
2017-07-07,MUTHOOTFIN,EQ,446.6,448.8,452.85,443.85,448.0,448.9,449.56,427452,192165428.2,10332,153091,35.81,2017,7,0.515002239140161,Slight positive,437.4609353049568,452.36785714285713,467.27477898075745,Hold Buy/Liquidate Short
2017-07-10,MUTHOOTFIN,EQ,448.9,448.9,454.0,445.0,451.5,449.5,450.5,65960,29715034.2,1324,30144,45.7,2017,7,0.1336600579193714,Slight or No change,437.2894168555229,451.6392857142857,465.98915457304844,Hold Buy/Liquidate Short
2017-07-11,MUTHOOTFIN,EQ,449.5,450.5,452.65,440.5,444.0,445.05,446.68,323573,144533467.8,4107,206469,63.81,2017,7,-0.9899888765294796,Slight negative,437.68218277956873,450.2285714285714,462.77496007757406,Hold Buy/Liquidate Short
2017-07-12,MUTHOOTFIN,EQ,445.05,447.5,469.55,444.1,467.95,467.75,458.67,1067168,489475801.0,16856,349590,32.76,2017,7,5.100550499943823,Among top gainers,435.8126990947493,450.8464285714286,465.8801580481079,Short
2017-07-13,MUTHOOTFIN,EQ,467.75,472.0,474.9,463.35,470.0,469.65,470.07,960481,451488902.15,15825,241647,25.16,2017,7,0.4061998931052857,Slight or No change,434.07767250533254,452.16785714285714,470.25804178038175,Hold Short/Liquidate Buy
2017-07-14,MUTHOOTFIN,EQ,469.65,470.95,479.0,465.95,472.4,472.85,474.13,991986,470327639.95,18028,348535,35.14,2017,7,0.6813584584264953,Slight positive,433.10843160774675,454.00357142857143,474.8987112493961,Hold Short/Liquidate Buy
2017-07-17,MUTHOOTFIN,EQ,472.85,475.95,475.95,464.55,469.0,468.4,469.71,327343,153756010.95,10444,125438,38.32,2017,7,-0.94110182933278,Slight negative,436.8669434568187,456.3142857142857,475.76162797175266,Hold Short/Liquidate Buy
2017-07-18,MUTHOOTFIN,EQ,468.4,466.0,476.25,460.1,468.0,468.9,472.11,488523,230638595.75,19214,270143,55.3,2017,7,0.1067463706234006,Slight or No change,438.34913204263074,457.9392857142857,477.52943938594063,Hold Short/Liquidate Buy
2017-07-19,MUTHOOTFIN,EQ,468.9,468.5,475.35,465.1,468.25,470.55,470.56,895246,421264503.95,20053,304044,33.96,2017,7,0.351887396033268,Slight or No change,437.9765402290353,458.68571428571425,479.3948883423932,Hold Short/Liquidate Buy
2017-07-20,MUTHOOTFIN,EQ,470.55,471.55,472.75,458.2,460.1,460.15,464.79,540333,251143983.15,15434,152729,28.27,2017,7,-2.210179577090643,Negative,438.4240883538737,459.04285714285714,479.6616259318406,Hold Short/Liquidate Buy
2017-07-21,MUTHOOTFIN,EQ,460.15,460.9,464.85,447.25,451.7,452.75,456.69,452339,206577799.65,14094,133996,29.62,2017,7,-1.6081712485059183,Negative,437.912646459121,458.7714285714286,479.6302106837362,Hold Buy/Liquidate Short
2017-07-24,MUTHOOTFIN,EQ,452.75,453.05,468.9,451.45,461.9,461.35,460.99,792689,365419706.2,15709,209133,26.38,2017,7,1.8995030369961308,Positive,439.1910792701188,459.5392857142857,479.88749215845263,Hold Short/Liquidate Buy
2017-07-25,MUTHOOTFIN,EQ,461.35,462.0,469.8,455.85,466.1,465.95,463.49,461333,213823139.3,9797,112294,24.34,2017,7,0.9970738051370942,Slight positive,440.590796122784,460.59642857142853,480.60206102007305,Hold Short/Liquidate Buy
2017-07-26,MUTHOOTFIN,EQ,465.95,468.9,483.4,467.0,476.15,477.65,477.3,1687894,805632649.35,29027,436136,25.84,2017,7,2.510999034231132,Positive,442.6092433668008,462.81428571428575,483.0193280617707,Hold Short/Liquidate Buy
2017-07-27,MUTHOOTFIN,EQ,477.65,481.95,481.95,462.65,466.0,465.35,471.58,947528,446838131.85,13873,372516,39.31,2017,7,-2.5751072961373245,Negative,445.4230973157944,463.9892857142857,482.555474112777,Hold Short/Liquidate Buy
2017-07-28,MUTHOOTFIN,EQ,465.35,465.0,474.75,462.3,467.15,467.5,469.82,568445,267066305.0,9890,51096,8.99,2017,7,0.4620178360373872,Slight or No change,448.63835139149126,465.275,481.9116486085087,Hold Short/Liquidate Buy
2017-07-31,MUTHOOTFIN,EQ,467.5,468.0,480.0,467.8,474.6,474.15,473.95,889969,421799810.05,10929,304049,34.16,2017,7,1.4224598930481225,Positive,454.8419482610672,467.3535714285714,479.8651945960756,Hold Short/Liquidate Buy
